"COUNTY_1","year","month","day","week2","countyname","smoke","tmax","prec","hum","shrtwv_rad","wind","circ","resp","week"
1,2018,1,1,"2017-W53","Alameda",0,288.816981132075,0.286792452830189,0.00575037735849057,83.5811320754717,1.34716981132075,248,762,53
1,2018,1,2,"2017-W53","Alameda",0,288.869811320755,0.7,0.00549981132075472,89.9584905660377,1.1188679245283,226,735,53
1,2018,1,3,"2017-W53","Alameda",0,287.347169811321,9.73396226415094,0.00671792452830189,42.4962264150943,2.18301886792453,222,696,53
1,2018,1,4,"2018-W01","Alameda",0,291.532075471698,1.69811320754717,0.00841584905660377,44.6245283018868,3.44150943396226,231,666,1
1,2018,1,5,"2018-W01","Alameda",0,289.747169811321,6.26603773584906,0.00874433962264151,34.8452830188679,2.11320754716981,259,773,1
1,2018,1,6,"2018-W01","Alameda",0,288.307547169811,0.713207547169811,0.0070877358490566,108.811320754717,1.74905660377358,252,617,1
1,2018,1,7,"2018-W01","Alameda",0,284.671698113208,13.3018867924528,0.00629528301886792,98.111320754717,1.8188679245283,225,701,1
1,2018,1,8,"2018-W01","Alameda",0,287.350943396226,51.2962264150943,0.00836075471698113,42.3094339622642,3.35283018867925,239,805,1
1,2018,1,9,"2018-W01","Alameda",0,287.679245283019,1.57735849056604,0.00841679245283019,32.5,3.85849056603774,261,724,1
1,2018,1,10,"2018-W01","Alameda",0,286.58679245283,0.186792452830189,0.00648283018867925,64.4264150943396,3.14150943396226,208,607,1
1,2018,1,11,"2018-W02","Alameda",0,289.162264150943,0.0113207547169811,0.00709509433962264,55.3660377358491,1.38301886792453,186,592,2
1,2018,1,12,"2018-W02","Alameda",0,287.479245283019,0,0.00704415094339623,117.347169811321,1.76792452830189,202,672,2
1,2018,1,13,"2018-W02","Alameda",0,288.862264150943,0,0.00623358490566038,115.175471698113,3.10566037735849,173,644,2
1,2018,1,14,"2018-W02","Alameda",0,286.909433962264,0,0.00618264150943396,99.7056603773585,2.05471698113208,233,705,2
1,2018,1,15,"2018-W02","Alameda",0,289.556603773585,0.162264150943396,0.00660924528301887,84.6981132075472,1.82264150943396,229,600,2
1,2018,1,16,"2018-W02","Alameda",0,288.837735849057,0,0.00799660377358491,59.9905660377358,1.17358490566038,258,729,2
1,2018,1,17,"2018-W02","Alameda",0,288.754716981132,0.181132075471698,0.00762924528301887,81.4188679245283,1.01698113207547,211,752,2
1,2018,1,18,"2018-W03","Alameda",0,288.894339622641,4.21698113207547,0.00816792452830189,41.5490566037736,3.97735849056604,259,614,3
1,2018,1,19,"2018-W03","Alameda",0,286.211320754717,0.0377358490566038,0.00592056603773585,106.416981132075,4.00754716981132,197,606,3
1,2018,1,20,"2018-W03","Alameda",0,286.735849056604,0,0.0051388679245283,126.239622641509,4.05094339622642,216,621,3
1,2018,1,21,"2018-W03","Alameda",0,286.730188679245,6.12264150943396,0.00531037735849057,84.1716981132076,2.60377358490566,230,709,3
1,2018,1,22,"2018-W03","Alameda",0,287.466037735849,2.5188679245283,0.00662547169811321,93.411320754717,2.18867924528302,238,752,3
1,2018,1,23,"2018-W03","Alameda",0,287.916981132075,0.358490566037736,0.00567792452830189,123.911320754717,1.65471698113208,231,666,3
1,2018,1,24,"2018-W03","Alameda",0,287.547169811321,9.23207547169811,0.00644056603773585,45.5264150943396,4.47169811320755,227,853,3
1,2018,1,25,"2018-W04","Alameda",0,285.967924528302,2.1622641509434,0.0058411320754717,94.5924528301887,4.3,221,622,4
1,2018,1,26,"2018-W04","Alameda",0,286.430188679245,0,0.00543566037735849,109.930188679245,2.11509433962264,251,739,4
1,2018,1,27,"2018-W04","Alameda",0,289.471698113208,0,0.00464320754716981,106.947169811321,2.3188679245283,212,659,4
1,2018,1,28,"2018-W04","Alameda",0,291.9,0,0.00546811320754717,136.177358490566,3.21509433962264,232,608,4
1,2018,1,29,"2018-W04","Alameda",0,289.275471698113,0,0.00583509433962264,126.564150943396,3.27735849056604,239,757,4
1,2018,1,30,"2018-W04","Alameda",0,293.107547169811,0,0.00629962264150943,136.68679245283,2.00566037735849,228,646,4
1,2018,1,31,"2018-W04","Alameda",0,293.08679245283,0,0.00632603773584906,138.567924528302,2.04339622641509,237,674,4
